x,mechanism,CC_bias,OM_bias,IPW_bias,AIPW_bias,CC_rmse,OM_rmse,IPW_rmse,AIPW_rmse
1,MAR,-0.013493997023682251,-0.0007819683908805156,-0.0017905188487070897,-0.0007725257357484006,0.19320375799611603,0.18688055635729828,0.19569779720411293,0.18623249198924385
2,MNARmod,-0.010867472588495656,0.018967368904825293,0.014513010083799467,0.021509652282458512,0.22218351098297892,0.20821252583150707,0.22918691366001925,0.21155072470968014
3,MNARstrong,0.024494281028591004,0.06219732024461399,0.05758575666616076,0.062483059251516836,0.19127470738569177,0.19346675529432256,0.2063071421416121,0.19602961349170406
