scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N700_MNARmod_both_misspec_NULL,700,MNARmod,both_misspec,True,0.0,0.0,IPW,250,0.0,-0.07774920557150937,0.01382343809998162,0.23157226032515782,0.011366354434794008,0.948,0.014042222046385685,0.052,0.014042222046385677,0.71124,0.5256890527484147,0.7204743687049752,0.8199787066006589,1.94007307201624,494.85401216277495,0.0
N700_MNARmod_both_misspec_NULL,700,MNARmod,both_misspec,True,0.0,0.0,AIPW,250,0.0,-0.06410495662675723,0.01190783986211423,0.19853667509902506,0.008706745894565594,0.928,0.01634821091128934,0.072,0.016348210911289345,0.71124,0.5256890527484147,0.7204743687049752,0.8199787066006589,1.94007307201624,494.85401216277495,0.0
N700_MNARmod_correct_ALT,700,MNARmod,correct,False,0.45,0.28,CC,250,0.41382823521152323,-0.06253596654747899,0.011036178088711036,0.1850358251438301,0.007989762002362885,0.952,0.013519763311537675,,,0.7011942857142857,,,,,,
N700_MNARmod_correct_ALT,700,MNARmod,correct,False,0.45,0.28,OM,250,0.41382823521152323,-0.014448480642788303,0.010882364460671175,0.17232758572077167,0.008387047093841445,0.936,0.01547953487673321,,,0.7011942857142857,,,,,,
N700_MNARmod_correct_ALT,700,MNARmod,correct,False,0.45,0.28,IPW,250,0.41382823521152323,-0.04691463141610858,0.01436333709117531,0.23145418615181215,0.010332521628874504,0.944,0.014541526742402262,,,0.7011942857142857,0.3472029094263892,0.7311881115804207,0.9268888031971081,3.0349822531790243,475.9436368911436,5.7142857142857145e-06
N700_MNARmod_correct_ALT,700,MNARmod,correct,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.015524301107179568,0.011033436812223006,0.1747954495097241,0.008481517348333164,0.932,0.01592180894245374,,,0.7011942857142857,0.3472029094263892,0.7311881115804207,0.9268888031971081,3.0349822531790243,475.9436368911436,5.7142857142857145e-06
N700_MNARmod_correct_NULL,700,MNARmod,correct,True,0.0,0.0,CC,250,0.0,-0.08569107918074777,0.012953214693001995,0.22163397302992355,0.01079009531343126,0.912,0.01791714262933685,0.088,0.017917142629336854,0.7111085714285714,,,,,,
N700_MNARmod_correct_NULL,700,MNARmod,correct,True,0.0,0.0,OM,250,0.0,-0.08190599821248055,0.01232105321620276,0.21097125936949673,0.010124041186468216,0.928,0.01634821091128934,0.072,0.016348210911289345,0.7111085714285714,,,,,,
N700_MNARmod_correct_NULL,700,MNARmod,correct,True,0.0,0.0,IPW,250,0.0,-0.06947888357521363,0.01533175869331534,0.25171006852277616,0.01116151199327828,0.92,0.01715808847162177,0.08,0.017158088471621775,0.7111085714285714,0.3728214509553702,0.7375148495060255,0.9243487922845183,2.767126668755015,485.34490227992046,0.0
N700_MNARmod_correct_NULL,700,MNARmod,correct,True,0.0,0.0,AIPW,250,0.0,-0.08174862726840415,0.012248999613001802,0.20986256919369572,0.009990104958832464,0.936,0.01547953487673321,0.064,0.015479534876733215,0.7111085714285714,0.3728214509553702,0.7375148495060255,0.9243487922845183,2.767126668755015,485.34490227992046,0.0
