x,mechanism,CC_coverage,IPW_coverage,AIPW_coverage
1,MAR,0.9071428571428571,0.8785714285714286,0.9071428571428571
2,MNARmod,0.9071428571428571,0.8428571428571429,0.9071428571428571
3,MNARstrong,0.9714285714285714,0.8928571428571429,0.9571428571428572
